"release_year","variable","value","timestamp","script_name"
2012,"la drink tomorrow law fill",0.0393932490196445,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2013,"la drink tomorrow law fill",0.00947595261702538,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2014,"la drink tomorrow law fill",0.107334431046623,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2015,"la drink tomorrow law fill",0.122265091041598,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2016,"la drink tomorrow law fill",0.0654817789593713,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2018,"la drink tomorrow law fill",0.013813869792191,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2020,"la drink tomorrow law fill",0.00038548038429907,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2010,"drugs homies dead gonna head",0.0708508477987651,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2011,"drugs homies dead gonna head",0.0502201122818544,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2012,"drugs homies dead gonna head",0.0653640680149063,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2013,"drugs homies dead gonna head",0.0777062780187206,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2014,"drugs homies dead gonna head",0.0584156025254707,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2015,"drugs homies dead gonna head",0.00951254268052118,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2016,"drugs homies dead gonna head",0.000225467143103852,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2018,"drugs homies dead gonna head",0.0412697742661653,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2020,"drugs homies dead gonna head",0.126087699438482,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2010,"party people wake hands hit",0.409638376673843,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2011,"party people wake hands hit",0.377592255253956,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2012,"party people wake hands hit",0.211960117502849,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2013,"party people wake hands hit",0.116473373145835,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2014,"party people wake hands hit",0.0104854882467511,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2015,"party people wake hands hit",0.0962515244012453,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2016,"party people wake hands hit",0.0203259696556667,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
2018,"party people wake hands hit",0.0368436887809261,"2025-03-09 12:28:46","topic_modeling_mac_miller_albums_only.R"
